SYSTEM,DEPARTMENT,PROCESS,LINE,IP,PBID
HEAD BACK,ELECTRODE,COATING,A1,100.0.0.21,114
HEAD TOP,ELECTRODE,COATING,A1,100.0.0.11,115
INTEGRATED VISION,ELECTRODE,COATING,A1,10.88.53.245,60
MISMATCH BACK,ELECTRODE,COATING,A1,10.88.53.90,61
MISMATCH TOP,ELECTRODE,COATING,A1,100.0.0.111,116
WRINKLE 1ST,ELECTRODE,COATING,A1,10.88.53.86,117
WRINKLE 2ND,ELECTRODE,COATING,A1,10.88.53.87,118
SURFACE BACK,ELECTRODE,COATING,A2,10.88.53.95,72
SURFACE TOP,ELECTRODE,COATING,A2,192.168.1.171,119
MISMATCH,ELECTRODE,COATING,A2,10.88.53.94,120
MISMATCH OLD,ELECTRODE,COATING,A2,192.168.1.177,122
NON-COATING WIDTH BOTTOM,ELECTRODE,COATING,A2,192.168.1.174,123
NON-COATING WIDTH TOP,ELECTRODE,COATING,A2,192.168.1.173,124
WRINKLE 1ST,ELECTRODE,COATING,A2,10.88.53.88,125
WRINKLE 2ND,ELECTRODE,COATING,A2,10.88.53.89,126
HEAD BACK,ELECTRODE,COATING,C1,100.0.0.26,127
HEAD TOP,ELECTRODE,COATING,C1,100.0.0.16,128
INTEGRATED VISION,ELECTRODE,COATING,C1,10.88.53.246,58
MISMATCH BACK,ELECTRODE,COATING,C1,10.88.53.92,59
MISMATCH TOP,ELECTRODE,COATING,C1,100.0.0.116,129
INSULATION BOTTOM,ELECTRODE,COATING,C2,192.168.1.176,70
INSULATION TOP,ELECTRODE,COATING,C2,192.168.1.175,130
SURFACE BACK,ELECTRODE,COATING,C2,10.88.53.97,71
SURFACE TOP,ELECTRODE,COATING,C2,192.168.1.171,131
MISMATCH,ELECTRODE,COATING,C2,10.88.53.96,132
MISMATCH OLD,ELECTRODE,COATING,C2,192.168.1.177,133
NON-COATING WIDTH BOTTOM,ELECTRODE,COATING,C2,192.168.1.174,134
NON-COATING WIDTH TOP,ELECTRODE,COATING,C2,192.168.1.173,135
DENT VISION,ELECTRODE,ROLL PRESS,A1,10.46.106.29,136
DENT VISION,ELECTRODE,ROLL PRESS,A2,10.46.106.35,137
ROLL PRESS,ELECTRODE,ROLL PRESS,C1,10.46.106.39,92
ROLL PRESS,ELECTRODE,ROLL PRESS,C2,10.46.106.37,93
ROLL PRESS,ELECTRODE,ROLL PRESS,C3,10.46.106.32,94
ROLL PRESS,ELECTRODE,ROLL PRESS,C4,10.46.106.40,95
